time	V(cap)	V(logic)	V(signal_in)	V(signal_out)
7.577349010497496e-005	-3.423007e+000	0.000000e+000	-3.621397e+000	-3.423176e+000
7.600786510497497e-005	-3.423181e+000	0.000000e+000	-3.663261e+000	-3.423363e+000
7.624224010497497e-005	-3.423366e+000	0.000000e+000	-3.704577e+000	-3.423561e+000
7.647661510497498e-005	-3.423561e+000	0.000000e+000	-3.745340e+000	-3.423769e+000
7.671099010497498e-005	-3.423767e+000	0.000000e+000	-3.785543e+000	-3.423987e+000
7.694536510497498e-005	-3.423982e+000	0.000000e+000	-3.825181e+000	-3.424215e+000
7.717974010497499e-005	-3.424208e+000	0.000000e+000	-3.864247e+000	-3.424452e+000
7.741411510497499e-005	-3.424443e+000	0.000000e+000	-3.902736e+000	-3.424699e+000
7.764849010497500e-005	-3.424687e+000	0.000000e+000	-3.940642e+000	-3.424954e+000
7.788286510497500e-005	-3.424941e+000	0.000000e+000	-3.977959e+000	-3.425219e+000
7.835161510497501e-005	-3.425475e+000	0.000000e+000	-4.050805e+000	-3.425775e+000
7.905474010497502e-005	-3.426341e+000	0.000000e+000	-4.155522e+000	-3.426672e+000
8.069536510497505e-005	-3.428788e+000	0.000000e+000	-4.380420e+000	-3.429183e+000
8.233599010497508e-005	-3.431433e+000	0.000000e+000	-4.570546e+000	-3.431883e+000
8.397661510497510e-005	-3.434276e+000	0.000000e+000	-4.725900e+000	-3.434771e+000
8.561724010497513e-005	-3.437319e+000	0.000000e+000	-4.846482e+000	-3.437848e+000
8.725786510497516e-005	-3.440560e+000	0.000000e+000	-4.932293e+000	-3.441113e+000
8.889849010497519e-005	-3.444000e+000	0.000000e+000	-4.983331e+000	-3.444567e+000
9.053911510497522e-005	-3.447639e+000	0.000000e+000	-4.999599e+000	-3.448209e+000
9.189067008997876e-005	-3.450590e+000	0.000000e+000	-4.982925e+000	-3.451155e+000
9.324222507498231e-005	-3.453416e+000	0.000000e+000	-4.942378e+000	-3.453969e+000
9.459378005998584e-005	-3.456117e+000	0.000000e+000	-4.877957e+000	-3.456651e+000
9.594533504498938e-005	-3.458693e+000	0.000000e+000	-4.789662e+000	-3.459200e+000
9.729689002999293e-005	-3.461143e+000	0.000000e+000	-4.677493e+000	-3.461617e+000
9.864844501499646e-005	-3.463468e+000	0.000000e+000	-4.541450e+000	-3.463902e+000
1.000000000000000e-004	-3.465668e+000	0.000000e+000	-4.381534e+000	-3.466055e+000
1.000000001000000e-004	-3.465668e+000	1.000000e-001	-4.381534e+000	-3.466055e+000
